
PROC PRINT: new_data
-------------------------------------------------------------------------------

  Obs  VAR1   NAME
-----  ----  -----
    1     0  TOM
    2     5  MARY
    3    10  SUSAN
    4    15  BOB
    5    20  JOHN

-------------------------------------------------------------------------------

PROC PRINT: new_data2
-------------------------------------------------------------------------------

  Obs   ZZ
-----  ---
    1    0
    2    5
    3   10
    4   15
    5   20
    6   25
    7   30
    8   35
    9   40
   10   45
   11   50
   12   55
   13   60
   14   65
   15   70
   16   75
   17   80
   18   85
   19   90
   20   95
   21  100

-------------------------------------------------------------------------------

