
PROC PRINT: is_summer
-------------------------------------------------------------------------------

  Obs  SUNLIGHT  SUMMER  TEMPERATURE
-----  --------  ------  -----------
    1         0       1           50
    2         5       1           52
    3        10       1           54
    4        15       1           56
    5        20       1           58
    6        25       1           60
    7        30       1           62
    8        35       1           64
    9        40       1           66
   10        45       1           68
   11        50       1           70
   12        55       1           72
   13        60       1           74
   14        65       1           76
   15        70       1           78
   16        75       1           80
   17        80       1           82
   18        85       1           84
   19        90       1           86
   20        95       1           88
   21       100       1           90
   22         0       0            0
   23         5       0            4
   24        10       0            8
   25        15       0           11
   26        20       0           14
   27        25       0           17
   28        30       0           20
   29        35       0           22
   30        40       0           24
   31        45       0           26
   32        50       0           28
   33        55       0           29
   34        60       0           30
   35        65       0           31
   36        70       0           32
   37        75       0           32
   38        80       0           32
   39        85       0           32
   40        90       0           32
   41        95       0           31
   42       100       0           30

-------------------------------------------------------------------------------

